ID	M-b	18K-b	19K-b	18C-b	20C-1
ZY214	12.22	35.54	15.41666667	26.86	54.54545455
ZY43	8.77	23.89	4.753289473	29.33	49.21875
ZY243	16.51	59.23	5.715811965	38.45	31.25
ZY377	30.94	21.62	16.42857143	58.85	68.75
ZY464	32.07	53.64	30.08333333	61.73	50.69444444
ZY522	49.05	62.58	53.04347826	62.58	83.62068966
ZY461	29.84	32.17	20.11278195	57.7	37.09677419
J80	48.41	31.71	22.35714285	86.76	96.66666667
ZY85	21.25	68.61	24.12771002	57.65	78.125
ZY98	21.25	71.81	32.67857143	63.47	74.21875
ZY315	41.97	47.03	29.00406504	59.65	77.5862069
ZY321	24.63	48.75	7.141192915	60.04	79.41176471
J50	31.58	66.83	53.91414141	74.08	60.29411765
ZY190	25.28	41.67	33.20630081	31.04	62.12121212
ZY380	73.75	59.78	40.10416666	88.94	85.18518519
ZY302	46.04	37.65	31.53735632	72.24	80.88235294
J34	10.02	35.93	18.79571577	47.66	66.40625
J55	22.63	28.29	4.940878378	29.28	51.5625
J15	20.93	48.57	19.50460829	57.05	75.83333333
J26	30.75	69.81	29.25472747	58.76	74.13793103
ZY57	59.69	72.18	71.17857143	65.39	58.03571429
ZY101	31.28	74.4	36.5245009	70.25	86.36363636
ZY154	15.6	50.8	15.04629629	23.63	69.35483871
ZY330	3.14	13.06	1.259157509	10.22	23.57142857
ZY52	18.28	25.13	23.66071429	45.02	78.90625
ZY162	11.74	49.49	40.50836551	36.13	39.65517241
ZY80	19.09	67.89	42.70833333	65.69	87.5
ZY83	21.11	67.18	46.85213414	63.94	75
J21	31.11	59.39	39.91799831	43.35	78.78787879
ZY286	40.48	53.44	31.39358108	84.11	67.1875
ZY268	35.73	37.94	14.41920644	62.22	77.20588235
ZY67	32.35	59	38.19444444	65.88	80.35714286
ZY452	34.06	50.39	34.68614719	77.51	76.92307692
ZY88	14.05	66.57	36.65710186	59.9	89.51612903
J73	40.2	39.73	25.26785714	65.88	75.89285714
ZY145	20.41	59.06	33.33333333	55.87	81.81818182
ZY291	19.7	22.19	7.900641025	17.13	68.75
J42	17.19	62.84	21.02703985	48.93	90.83333333
ZY295	39.89	37.02	12.17105263	63.23	53.03030303
J110	32.44	37.5	23.23286414	67.09	78.57142857
J6	34.2	56.62	34.31919643	56.6	80.46875
ZY73	21.86	51.32	50.96982758	75.49	79.83870968
ZY21	28.04	54.16	31.78005591	56.05	24.13793103
ZY384	50.72	39.2	16.49159664	81.69	91.66666667
ZY107	32.27	71.99	39.042777	72.24	83.59375
ZY224	16.55	56.32	36.11111111	34.05	41.66666667
ZY506	2.1	29.16	5.718623482	26.58	20.3125
ZY209	44.24	47.84	44.28733031	57.89	62.03703704
J57	49.39	43.02	23.25757576	82.99	75
J111	23.17	31.54	18.33079268	65.85	70.83333333
ZY521	12.77	51.17	11.85897436	40.48	52.5862069
ZY26	10.72	23.35	10.25717703	26.08	34.67741935
ZY335	20.7	23.68	6.825880758	53.62	73.33333333
ZY422	49.61	46.38	23.63636363	51.04	55.83333333
J46	31	68.22	45.30357143	66.04	54.41176471
ZY148	21.98	70.69	36.16071428	59.9	87.06896552
J103	25.59	25.62	10.03289473	72.05	60.60606061
ZY236	71.53	80.45	47.47474747	77.77	51.92307692
J61	31.62	35.82	31.36904762	71.69	70.45454545
ZY37	22.39	36.44	9.404520919	42.41	83.33333333
ZY160	12.95	58.58	65.54089027	59.23	70.83333333
ZY42	9.47	17.95	8.663003664	34.24	56.94444444
ZY447	19.37	46.34	46.76406926	58.51	69.28571429
J39	22.43	39.89	30.6918656	28.51	58.03571429
ZY240	48.57	65.71	11.43274854	43.63	58.06451613
ZY305	51.27	49.2	30.38709677	66.87	83.82352941
J62	20.69	53.62	11.80555555	61.93	81.06060606
ZY138	10.45	42.04	24.43792766	27.54	72.4137931
ZY127	38.25	65.29	36.89516129	43.41	77.27272727
J70	21.89	30.89	5.405405405	47.65	58.87096774
ZY45	45.54	49.63	42.68680445	64.15	87.5
ZY168	1.93	20.51	9.629629629	7.69	24.24242424
ZY66	22.4	46.96	43.85026738	55.71	81.25
J59	30.84	38.82	8.563701923	58.57	62.90322581
ZY327	13.88	41.64	41.49608014	60.18	69.53125
J31	46.16	53.31	35.27462121	82.37	90.38461538
ZY123	18.75	61.36	18.88020833	47.26	50.78125
ZY90	20.83	79.74	55.3492647	63.12	90.51724138
J8	24.66	57.81	38.97058823	59.53	78.125
J77	41.16	39.9	9.736428008	67.8	79.86111111
ZY210	31.03	65.12	36.64414414	42.52	86.29032258
ZY270	33.08	43.43	10.08152174	61.81	67.5
ZY221	13.49	52.11	34.13461538	32.92	71.09375
J35	38.22	51.82	29.74025974	60.66	82.8125
ZY48	43.47	37.06	30.09581881	76.18	49.16666667
ZY363	17.97	30.38	15.16806722	51.97	54.31034483
ZY157	20.98	44.62	46.59090909	40.7	71.66666667
ZY173	23.48	56.13	29.51239224	48.39	43.75
ZY396	10.61	22.13	22.53279666	61.35	75.75757576
ZY244	44.08	48.72	44.15967988	76.19	57
J52	14.59	36.86	26.40765766	40.26	52.20588235
ZY331	24.44	25.93	8.108974359	31.95	70.58823529
ZY389	47.47	37.72	15.625	74.84	86.80555556
ZY108	28.52	71	51.58823529	59.16	88.63636364
J51	24.38	37.3	21.9888664	57.19	60.60606061
J10	31.15	63.45	32.85290948	50.76	83.33333333
J3	24.61	53.19	27.54914005	41.25	63.33333333
ZY367	8.04	14.5	4.706533776	34.17	13.88888889
ZY76	17.65	53.5	63.78205128	67.74	88.97058824
ZY465	42.22	70.99	51.5	82.62	73.38709677
J23	29.97	52.24	39.53536184	62.86	69.6969697
ZY311	NA	NA	NA	55.13	70.16129032
ZY122	35.9	64.39	60.30138339	59.91	58.59375
J47	31.7	58.96	21.99275362	53.2	34.45945946
J27	10.64	43.58	23.08201058	42.75	66.66666667
ZY261	6.15	29.06	1.612903226	23.4	28.7037037
ZY54	12.86	42.32	13.63636364	25.06	58.33333333
ZY468	36.45	43.45	43.22916666	70.17	44.85294118
ZY271	39.42	52.89	8.653846155	63.81	69.28571429
ZY198	25.05	44.37	39.6567299	32.03	81.25
ZY443	12.65	32.85	25.83333333	46.59	63.63636364
J43	NA	NA	62.39919355	NA	54.03225806
ZY441	31.73	50.92	48.9519817	59.02	79.16666667
ZY102	26.46	63.85	40.89640198	67.04	80.88235294
ZY406	17.1	58.52	19.35173299	73.29	90.90909091
ZY316	33.88	39.51	16.63816689	66.92	80.64516129
